Age,Gender,Work Experience,Monthly Income,Monthly Household Expense,Marital Status,Number of Children,Education Level,Have bank account,Savings in bank,Have smartphone,Access to internet,Loan Approval,Loan Approval Process (days)
56.0,Female,36.0,2274002.0,1740833,Single,0.0,Secondary,No,0.0,Yes,No,Yes,1.0
46.0,Female,21.0,1628289.0,1307518,Married,2.0,Primary,No,0.0,Yes,Yes,No,13.0
32.0,Female,6.0,1407869.0,1166636,Married,1.0,Primary,No,0.0,Yes,No,No,12.0
60.0,Female,27.0,600000.0,491494,Married,4.0,Primary,Yes,64412438.0,No,Yes,No,13.0
25.0,Female,7.0,2129331.0,1856261,Married,2.0,Primary,Yes,151513236.0,Yes,Yes,Yes,5.0
38.0,Female,8.0,3163471.0,1961649,Married,5.0,Primary,No,0.0,Yes,No,Yes,5.0
56.0,Female,34.0,1230519.0,859424,Single,0.0,Secondary,Yes,7123135.0,Yes,No,No,13.0
36.0,Female,14.0,600000.0,540410,Married,2.0,Secondary,No,0.0,Yes,Yes,No,10.0
40.0,Female,15.0,1335043.0,930175,Single,1.0,Secondary,No,0.0,Yes,Yes,No,7.0
28.0,Female,1.0,2417119.0,1441091,Divorced/Widowed,1.0,Secondary,No,0.0,Yes,Yes,Yes,1.0
28.0,Female,2.0,1500049.0,1116658,Married,4.0,Primary,No,0.0,No,No,No,12.0
41.0,Male,11.0,1225672.0,723773,Married,1.0,Primary,Yes,49104071.0,Yes,Yes,No,7.0
53.0,Female,6.0,1813408.0,1133481,Married,2.0,Primary,No,0.0,Yes,Yes,No,11.0
57.0,Female,12.0,1960790.0,1802707,Married,2.0,Diploma,No,0.0,Yes,Yes,No,7.0
41.0,Male,17.0,828126.0,621346,Married,2.0,Diploma,No,0.0,Yes,No,No,7.0
20.0,Female,0.0,1647901.0,1079542,Single,0.0,Primary,No,0.0,Yes,No,No,10.0
39.0,Male,12.0,1451912.0,1332952,Married,2.0,Primary,Yes,116791585.0,Yes,No,No,7.0
19.0,Male,1.0,1351366.0,1226535,Married,1.0,Diploma,No,0.0,Yes,Yes,No,13.0
41.0,Female,1.0,1088074.0,775876,Married,4.0,Diploma,No,0.0,Yes,No,No,5.0
47.0,Male,15.0,2458880.0,1589294,Married,2.0,Secondary,No,0.0,No,No,Yes,5.0
55.0,Female,8.0,1348929.0,1160359,Single,0.0,Secondary,No,0.0,Yes,No,No,12.0
19.0,Female,0.0,600000.0,488867,Married,2.0,Secondary,Yes,158820609.0,Yes,Yes,No,9.0
38.0,Male,5.0,1985008.0,1596280,Married,3.0,Primary,No,0.0,Yes,No,No,8.0
50.0,Male,10.0,2307639.0,2031765,Married,5.0,Primary,No,0.0,Yes,No,Yes,1.0
29.0,Male,5.0,1242788.0,1000549,Married,2.0,Secondary,No,0.0,No,No,No,13.0
39.0,Female,21.0,1408236.0,922401,Married,0.0,Secondary,No,0.0,Yes,Yes,No,13.0
42.0,Female,0.0,1345662.0,1085585,Married,2.0,Secondary,No,0.0,Yes,Yes,No,9.0
44.0,Female,3.0,1557342.0,1032752,Married,2.0,Primary,Yes,56865476.0,No,Yes,No,13.0
59.0,Male,22.0,2574795.0,2139444,Married,4.0,Primary,Yes,123772958.0,Yes,Yes,Yes,2.0
45.0,Female,12.0,1720158.0,1340530,Married,2.0,Primary,No,0.0,No,Yes,No,13.0
33.0,Male,12.0,2387715.0,1381632,Married,4.0,Primary,No,0.0,No,Yes,Yes,1.0
32.0,Female,1.0,1121817.0,829863,Married,2.0,Primary,No,0.0,Yes,Yes,No,8.0
20.0,Male,0.0,1531416.0,1036801,Single,1.0,Secondary,No,0.0,Yes,No,No,8.0
